state,volume,av_probability
up,0.0,0.4579876335019674
up,712.812,0.4766666666666666
up,711.903,0.4626666666666666
up,298.404,0.6091666666666667
up,302.478,0.5133333333333333
up,519.516,0.614
up,109.855,0.6649999999999999
up,234.417,0.39142857142857146
up,715.583,0.5226666666666666
up,273.165,0.43200000000000005
up,260.462,0.6366666666666666
up,111.825,0.6233333333333334
up,521.916,0.7575
up,240.03,0.47000000000000003
up,211.828,0.62
up,394.896,0.5725
up,296.539,0.6483333333333334
up,245.087,0.3975
up,461.143,0.6166666666666667
up,184.01,0.48
up,113.592,0.6766666666666667
up,231.747,0.31
up,466.872,0.5977777777777776
up,238.555,0.3275
up,492.442,0.6325000000000001
up,261.086,0.6699999999999999
up,184.787,0.5271428571428572
up,436.162,0.5075000000000001
up,512.537,0.77
up,212.472,0.5633333333333334
up,176.782,0.48
up,207.785,0.4677777777777778
up,182.653,0.5342857142857141
up,1040.836,0.7341176470588235
up,187.491,0.4683333333333333
up,289.165,0.39
up,391.161,0.6599999999999999
up,263.576,0.6699999999999999
up,281.654,0.6900000000000001
up,211.051,0.615
up,302.637,0.20166666666666666
up,452.297,0.7533333333333333
up,383.82,0.6183333333333333
up,179.632,0.47500000000000003
up,287.241,0.7083333333333334
up,560.816,0.6326666666666666
up,279.565,0.6966666666666667
up,263.955,0.392
up,299.57,0.6315384615384616
up,437.151,0.44749999999999995
up,240.842,0.4666666666666666
up,192.092,0.41
up,448.895,0.48200000000000004
up,187.368,0.5414285714285714
up,613.499,0.7433333333333333
up,267.897,0.5485714285714286
up,410.236,0.6499999999999999
up,288.908,0.255
up,245.233,0.404
up,277.87,0.42400000000000004
up,412.852,0.576
up,183.795,0.4733333333333334
up,523.359,0.784
up,240.826,0.43333333333333335
up,421.56,0.5025
up,204.854,0.4833333333333333
up,104.219,0.5
up,303.433,0.49833333333333335
up,270.71,0.382
up,300.348,0.19000000000000003
up,244.877,0.252
up,207.44,0.47111111111111115
up,405.873,0.6279999999999999
up,455.138,0.675
up,562.014,0.5442857142857143
up,187.374,0.635
up,738.318,0.6024999999999999
up,601.842,0.7500000000000001
up,500.994,0.6250000000000001
up,474.591,0.7266666666666666
up,210.968,0.53
up,243.165,0.4366666666666667
up,392.94,0.57
up,745.07,0.5922222222222222
up,428.512,0.4925
up,471.528,0.44166666666666665
up,598.853,0.828888888888889
up,458.767,0.4585714285714286
up,105.131,0.51
up,306.428,0.5166666666666666
up,183.591,0.345
up,331.051,0.4514285714285715
up,538.908,0.587
up,946.814,0.6399999999999999
up,1050.299,0.7116666666666667
up,238.748,0.43333333333333335
up,316.006,0.29285714285714287
up,292.555,0.27
up,423.179,0.5566666666666666
up,408.822,0.599
up,270.322,0.4383333333333333
up,183.346,0.605
up,275.673,0.46142857142857147
up,211.625,0.53
up,322.782,0.6333333333333333
up,262.247,0.368
up,282.311,0.245
up,200.972,0.6866666666666666
up,331.129,0.6519999999999999
up,429.185,0.5509090909090909
up,388.199,0.64
up,228.185,0.8233333333333334
up,150.225,0.5
up,215.792,0.6633333333333333
up,947.838,0.635625
up,301.947,0.22333333333333336
up,382.177,0.695
up,145.979,0.49500000000000005
up,963.832,0.7172222222222223
up,324.161,0.658
up,445.03,0.60875
up,355.928,0.571
up,1014.28,0.7499999999999999
up,228.088,0.7966666666666667
up,469.493,0.5166666666666666
up,768.312,0.5866666666666667
up,351.315,0.545
up,476.074,0.46333333333333343
up,490.129,0.43066666666666664
up,123.252,0.6533333333333333
up,153.889,0.46666666666666673
up,670.424,0.6416666666666667
up,647.318,0.6733333333333333
up,336.964,0.7899999999999999
up,482.066,0.426
up,433.014,0.5466666666666666
up,450.546,0.5387500000000001
up,548.349,0.51625
up,844.746,0.7333333333333333
up,624.08,0.6606666666666666
up,358.82,0.564
up,426.418,0.546
up,235.45,0.44333333333333336
up,409.588,0.6576923076923078
up,550.991,0.5816666666666667
up,408.835,0.562
up,340.669,0.79
up,465.022,0.7116666666666668
up,430.048,0.576
up,549.405,0.52875
up,474.632,0.7041666666666666
up,847.773,0.6773333333333332
up,476.207,0.6983333333333334
up,367.113,0.76
up,891.893,0.6161538461538462
up,896.091,0.6171428571428572
up,559.793,0.49374999999999997
up,868.914,0.7073333333333333
up,307.031,0.6291666666666667
up,878.029,0.6385714285714286
up,427.355,0.6216666666666667
up,447.858,0.7633333333333333
up,0.0,0.4834727703235991
up,180.28,0.45
up,130.334,0.89
up,126.816,0.88
up,165.575,0.643
up,144.416,0.54
up,266.694,0.6940000000000001
up,231.374,0.6288888888888888
up,134.794,0.6000000000000001
up,162.854,0.485
up,146.596,0.6325000000000001
up,472.38,0.5842857142857143
up,109.311,0.63
up,291.795,0.572
up,200.583,0.22833333333333336
up,194.935,0.7066666666666666
up,208.507,0.7142857142857143
up,342.158,0.85
up,126.837,0.6633333333333334
up,123.3,0.5475
up,97.431,0.5855555555555555
up,452.624,0.5416666666666666
up,284.662,0.6825
up,113.175,0.6883333333333334
up,300.142,0.42800000000000005
up,402.973,0.5075
up,101.954,0.6225
up,117.724,0.63
up,273.666,0.5533333333333333
up,925.102,0.634
up,145.702,0.54
up,142.162,0.7566666666666667
up,522.27,0.383
up,82.727,0.7275
up,293.483,0.43166666666666664
up,141.818,0.76
up,107.954,0.5900000000000001
up,68.549,0.6475
up,228.591,0.51
up,64.275,0.6
up,161.575,0.7162499999999999
up,524.605,0.4671428571428571
