state,probability,volume
up,0.5687500000000001,0.0
up,0.5725,0.0
up,0.5775,0.0
up,0.6983333333333334,560.228
up,0.6983333333333333,161.575
up,0.6812500000000002,0.0
up,0.5845833333333333,101.203
up,0.61375,0.0
up,0.6187499999999999,0.0
up,0.6408333333333333,0.0
up,0.6345833333333334,0.0
up,0.6295833333333335,0.0
up,0.6620833333333335,117.727
up,0.6583333333333332,118.478
up,0.6429166666666667,117.388
closed,0.7704166666666667,0.0
closed,0.7654166666666667,0.0
closed,0.7716666666666668,0.0
closed,0.7887500000000002,0.0
closed,0.7866666666666665,0.0
closed,0.7941666666666665,0.0
closed,0.7945833333333332,0.0
closed,0.7829166666666665,0.0
closed,0.7870833333333334,0.0
closed,0.7745833333333335,0.0
closed,0.7733333333333333,0.0
closed,0.7779166666666667,0.0
closed,0.7883333333333332,0.0
closed,0.7583333333333332,0.0
closed,0.7858333333333333,0.0
locked,0.7800000000000001,987.955
locked,0.8029166666666666,1048.515
locked,0.78625,1026.638
locked,0.7904166666666667,955.126
locked,0.7658333333333333,948.299
locked,0.7645833333333333,968.661
locked,0.74375,701.947
locked,0.7300000000000001,775.886
locked,0.7125,732.107
locked,0.7675000000000001,920.366
locked,0.7795833333333334,1081.375
locked,0.7649999999999998,1081.255
locked,0.7199999999999999,482.041
locked,0.7312499999999998,486.779
locked,0.7091666666666666,488.516
